,spot_id,name,price,description,picurl
0,2021000,通远门城墙遗址公园,0,通远门城墙遗址公园由广场、城墙、雕塑组成。雕塑叙述了老城墙筑城、守城、攻城的历史故事，辅以《炒米糖开水》和《滑竿》两组民俗雕塑，市井味浓郁，是游人感受重庆历史文化的场所之一。古重庆城有城门九开八闭共十七道，应“九宫八卦”之象而筑以示“金城汤池”之意。通远门位于正西面，是重庆城唯一的陆门，是通往外地的陆路起点，故称“通远”。至今，通远门已是重庆仅存的两道城门之一，而通远门段城墙也是重庆唯一一段保存较为完整的城墙遗址。,image/1A0w1a0000018vkbbE296_D_256_180.jpg
1,2021001,中山四路,0,中山四路是重庆市政府所在地，周边就是著名的上清寺。一条街上历史遗迹很多，有桂园、周公馆、戴公馆、张骧公馆等。中山四路抗战文化一条街，这条复刻了泱泱大国如晦历史记忆的长路，自上世纪30年代便锁定了来自世界的瞩目，并以它独一无二的城市地位，代言着重庆的前世今生。1937年至1942年，在日本帝国主义长达五年的“无区别轰炸”中，重庆中山四路作为世界反法西斯同盟在中国的指挥中心，以其不屈之姿，指挥着全国人民顽强抗击日本法西斯统治，并取得重要胜利，为英美等国在太平洋战场争取了时间和有利条件。中山四路是重庆恢复历史街区的成功案例，中山四路一带，是陪都、抗战遗迹最集中的地方。重庆红岩联线文化发展管理中心主任厉华曾表示，桂园、特园、周公馆都是中国近现代史上的重要文物，每年都会修复，都遵循了修旧如旧的原则。2010年重庆市结合主干道综合整治时，对这一片区作为历史街区进行了很好的恢复。这一带历史街区的恢复，在保留文物遗迹历史面貌的同时，又结合了地域建设特点，将沿街的众多建筑改为青砖带瓦、拱窗拱廊的中西合璧风格。而这一风格，正是上世纪三四十年代此处的建筑风格，这让改造后的建筑和保留下来的历史建筑显得更和谐，给人以整齐、古朴、大气的美感。,image/100b1f000001gsm817EFD_D_256_180.jpg
2,2021002,周公馆,0,周公馆是思南路上的一座西班牙式花园洋楼，曾是1946年周恩来在上海工作、生活过的地方。周公馆整体保护得很好，现在依然能在里面看到当时的房间布局，还能看到按原样复制的家具和一些工作物品。在抗日战争胜利后的国共谈判期间，实际上这里是中国共产党代表团驻沪办事处，由于形势所迫对外宣称是周恩来的寓所，所以简称“周公馆”。周公馆掩映在法国梧桐树丛中，如今可以看到爬山虎几乎爬满了整栋建筑，楼后还有后花园，闹中取静，环境相当优美。入馆参观需注意里面禁止拍照。周公馆的一楼是会客室和周恩来的办公室兼卧室，当年周恩来多次在这里召开中外记者招待会。二楼是办事处外事人员的工作室兼卧室，陈列着收音机、英文打字机、油印机等物品。三楼正中为集体宿舍，时常作为办事处接待许多南来北往同志的临时住处。洋楼的底层还有传达室和汽车间，汽车间里停放着周恩来使用过的“别克”轿车（现为复制件）。来到花园，这里是一片草坪，草木间矗立着一座周总理的全身塑像。紧邻着周公馆还有一座附楼，里面是史迹图片陈列馆，展示了办事处的设立背景和在沪工作场景。此外，这里离孙中山故居纪念馆、刘海粟旧居等名人故居都不远，步行5-10分钟可到。,image/100i1f000001gp1l82428_D_256_180.jpg
3,2021003,桂园,0,桂园是一个独立的小院，大门临街。院内有两株桂花树，桂园因此得名。桂园占地700平方米，主楼为砖木结构，楼下左侧会客厅，是当年和签订《国共双方代表会谈纪要》（即“双十协定”）的地方。右侧餐厅里，曾宴请过各国驻华团体负责人和中外各界友好人士。二楼是办公、休息的地方。这里陈列着重庆谈判期间的活动照片，以及《新华日报》、《解放日报》在当时的有关报道。,image/10091f000001gsn244C9F_D_256_180.jpg
4,2021004,四川美术学院,0,四川美院全称四川美术学院，是中国独立建制的31所普通高等艺术院校之一，也是中国八大美院之一。学校校园分为黄桷坪校区和虎溪校区，黄桷坪老校区位于重庆市九龙坡区，是一所园林式校园。学校内外分布着黄桷坪涂鸦艺术街、重庆美术馆等景点。黄桷坪涂鸦艺术街位于重庆九龙坡区黄桷坪辖区，起于黄桷坪铁路医院，止于501艺术库，全长约1.25公里，是全球较大的涂鸦艺术作品，也是网红拍照地。501艺术库是昔日的战备物流仓库，共5层楼，修于1950年，曾被称为“501仓库”。重庆美术馆位于四川美院黄桷坪老校区内，毗邻长江，青山环绕，绿树和雕塑点缀其间。该馆共有7个展厅及户外雕塑展示区，可同时举办多种展览；有容纳500多人的现代化多功能厅和容纳180多人的学术报告厅，实用于国际学术交流和影视展映。四川美院校门内的中央位置还矗立着中国国内较大、记录学生人数较多的巨型校友墙，这面墙上，记录了从1954年到2010年在该校就读的35000多名学生的名字。,image/10071f000001h6xhe1950_D_256_180.jpg
5,2021005,来福士购物中心,0,,
6,2021006,洪崖洞民俗风貌区,0,洪崖洞民俗风貌区是逛山城老街、观赏两江风光、品尝当地美食的好去处。洪崖洞商业街位于渝中区沧白路，长江、嘉陵江两江交汇的滨江地带，以具有巴渝传统建筑特色的“吊脚楼”为主体，依山就势，沿江而建。夜景美爆了洪崖洞民俗风貌区由纸盐河酒吧街、天成巷巴渝风情街、盛宴美食街及异域风情城市阳台四部分组成，以具有巴渝传统建筑特色的吊脚楼为主体，依山就势，通过分层筑台、吊脚、错叠、临崖等山地建筑手法，把这一片建筑汇聚在一起，夜晚时候灯火通明，堪称山城一景。美食、购物、观景走进洪崖洞民俗风貌区两边都是密集的吊脚楼。从脚下的沿江路到顶层的沧白路有11层之多。各层内容不同，有餐馆、有小吃街、有酒吧咖啡厅，也有土特产商铺。顶层是异域风情城市阳台，可乘坐电梯直达。站在观景平台上，可远观两江交汇，风光无限。,image/100e0x000000l3igw7E5F_D_256_180.jpg
7,2021007,山城步道,0,所谓步道，就是只能步行的城市小道。重庆是一个建在山地的城市，许多相邻的地方落差高达几十米，交通只能靠这种爬坡上坎的城市小道。过去一些有名的步道都很繁华，重庆许多老的遗址就在这些步道旁。随着大规模的旧城改造和交通条件的改善，这些步道慢慢地失去了作用，有的已经消失或者荒芜了。周边的一些有名的遗址也慢慢被人们遗忘而消失在漫漫的历史长河中......修复完工的第三步道是其中的代表。这条步道地处渝中半岛南向坡面，由北向南，依次经过市中山医院、抗建堂、菩提金刚塔、法国仁爱堂旧址、悬空栈道等，全长1748米，紧凑地串联了一 系列传统街区和历史文化遗迹。步道最高点在菩提金刚塔附近，最低点位于山城巷入口处，高差79.5米。是一条颇具重庆城市特色的山城步道。,image/100t1f000001gqa24C777_D_256_180.jpg
8,2021008,李子坝轻轨站,0,当地网红的轻轨站，轻轨列车从大楼中穿墙而过。,image/100j0a0000004cvlf84F6_D_256_180.jpg
9,2021009,二厂文创公园,0,二厂文创公园又叫鹅岭二厂，位于重庆市渝中区，前身是重庆印制二厂，可以说曾是西南印刷工业的彩印巨头。随着时代的发展，曾经轰鸣的机器渐渐停歇，二厂逐渐淡出人们的视线，老厂房还保留了独栋旧楼原有的风貌，充满了文艺气息，是年轻人喜爱的地方。园区有两个广场、四条街巷、近十栋厂房，分布着艺术家工作室、设计室、博物馆、公共体验空间等，极具个性和风格。电影《从你的全世界路过》里面的电台，就是在这里31号楼天台取景拍摄的。站在天台，可将两江尽收眼底。,image/10051f000001gsu417772_D_256_180.jpg
10,2021010,长江索道,18,长江索道，已经成为了游客在山城的必游项目。索道起于渝中区长安寺（新华路），横跨长江至南岸区的上新街（龙门浩）。乘上索道，滑向江对岸，一路可见近在咫尺的钢筋森林、长江以及江北南岸区的风光。“不览夜景，未到重庆”，乘坐全程约千米的长江索道，是近距离俯瞰重庆夜景的不错体验。灯火辉煌的渝中半岛、璀璨夺目的滨江路、波光粼粼的长江水、流光溢彩的跨江大桥，交相辉映。如果你在蒙蒙细雨之夜，乘坐长江索道看夜景，还可欣赏到一幅水墨淡彩的《巴山夜雨图》，巴山雨态，水墨中的城市山林。长江索道也成为众多影视剧在重庆取景的必选地，代表作有：2001年《周渔的火车》、2006年《疯狂的石头》、2006年《好奇害死猫》、2007年《门》等影片，以及综艺节目《极限挑战》等。,image/100u1f000001gq9gh4C9B_D_256_180.jpg
11,2021011,长嘉汇弹子石老街,0,,image/10031f000001gs25w8CAF_D_256_180.jpg
12,2021012,解放碑步行街,0,解放碑步行街是重庆较为繁华的商业圈，这里百货公司、酒店数量众多，是购物、美食和走走逛逛的好去处，更是打望重庆美女的好去处。步行街位于渝中区，以解放碑为中心，包括周边的民权路、邹容路和八一路等。美食、购物、打望美女商场多，小吃多，美女多，是步行街“三多”。你在这里可以逛逛“高大上”的美美时代百货、大都会广场，也有比较平民的重庆百货大楼和太平洋百货；在步行街上你几乎能吃到所有的重庆美食，这里有八一路好吃街，便宜又好吃的酸辣粉、山城小汤圆和抄手都能在这里找到。而当你步行街上闲逛时，没走几步，就会有一位身材高挑，皮肤白皙的重庆美眉从你身边闪过。作为重庆甚至是中国西部地区繁华的商业街，无论你是重庆本地人，还是来重庆的游客，在步行街都能找到属于自己的快乐。解放碑：纪念抗战胜利的纪念碑步行街上的解放碑，是纪念抗日战争胜利的纪念碑。步行街附近还有能仁寺、罗汉寺等景点。解放碑步行街及周边还是游客在重庆住宿的主要选择之一，这里有洲际酒店、也有性价比很高的经济型酒店。,image/CggYHlZWycKAKCR_AFSnDSIYewY884_D_256_180.jpg
13,2021013,千厮门大桥,0,千厮门大桥连接了重庆市渝中区与江北区，横跨了嘉陵江，位于洪崖洞旁边，可以直接从大桥走到洪崖洞的楼顶，在嘉陵江大桥上拍摄洪崖洞是不错的位置，建议可以把大桥和洪崖洞连起来一起游玩。晚上的千厮门大桥真的很壮观，灯火通明，横跨在嘉陵江之上，像一条红色长龙一样。在嘉陵江大桥上还可以拍摄重庆各个方向的城市景观以及解放碑CBD全景，非常适合风光照片以及游客照。,image/100h1f000001gruvdD3F6_D_256_180.jpg
14,2021014,鹅岭公园,0,鹅岭原名鹅项岭，位于重庆市渝中区长江一路。地处于长江、嘉陵江南北挟持而过的陡峻狭长山岭上，因其形似鹅之颈项，故而得名。环抱重庆半岛的两江在这里距离最近。鹅岭公园背倚山城，处于重庆半岛最高处，高挑出世。园内瞰胜楼(两江亭)高耸九重，登楼远眺，两江风光尽收眼底，雄、险、旷、秀。夜观灯海，更是别有一番风味。,image/100s1f000001gx75uF7E9_D_256_180.jpg
