,spot_id,name,price,description,picurl
0,2023000,中国国家博物馆,0,中国国家博物馆是全国较大的综合性博物馆，集合了各地的文化精髓。这里有许多珍贵的展品，如陕西的兵马俑、四川的三星堆面具、圆明园的兽首等，参观时就像翻阅一本活的教科书，是科普、教育的好地方。博物馆分为五层，共有四十八个展厅，展厅面积非常大，而且展品数量也很多。整个国博细细看下来至少需要一天，不仅是一场长知识的头脑风暴，单是一路走下来也是件很考验体力的事儿。一般游玩大约3小时，重点看《古代中国》和青铜展。《古代中国》：穿越古今千年进入博物馆后，直奔地下一层的《古代中国》展厅，这里的展品按照远古到明清时期的顺序排列，像一部中国通史。参观时记得从展厅北侧序厅的入口进入，这样可以从远古时期开始顺序浏览，不然就该从明清往回“穿越”了。在这里即使你对文物不太了解，也一定能看到许多似曾相识的文物，比如：人面鱼纹彩陶盆、仰韶鹰形陶鼎、红山文化玉龙、击鼓说唱陶俑、商周四羊方尊、西汉兵马俑彩俑、成化斗彩罐、明万历太后凤冠等，精美程度堪称中华文明的精华，非常养眼。青铜展：欣赏青铜时代从《古代中国》出来，乘电梯来到位于三楼中央大厅的《中国古代青铜艺术》展厅，青铜展的鼎也是博物馆的看点之一，尤其是司母戊鼎、圆鼎子龙鼎、以及内壁有近三百字的大盂鼎，浑厚而精湛，我国青铜时代出类拔萃的作品都集中在这里了。其它展厅看点如果还有时间，可继续浏览其它专题陈列，包括佛造像、玉器、钱币、瓷器等，可挑选几个感兴趣的参观。如果对近现代史感兴趣，推荐前往一层、二层的《复兴之路》展厅，这里的展品也是按照时代顺序排列的。此外，在一层的馆藏现代经典美术作品陈列可看到有名的《开国大典》油画。讲解以上这些常设陈列每天都有专业讲解员和志愿者提供定时讲解，每个陈列的讲解时间大约在一小时左右，到时在展厅入口等候即可。听过讲解比较容易抓到重点，也能更好地了解展品背后的故事。亲子活动听完讲解，你可以自己随意在展厅内逛逛，或者看看此时感兴趣的临时展览。如果有小朋友一起来，可以试一试教育体验区的活动，通过绘画、手工制作等形式让历史生动起来，对小朋友是很好的启蒙。馆内餐饮博物馆一层有茶室和咖啡厅，可以在此喝点东西小憩一下，也有小店能买到一些三明治之类的简餐。周边景点参观完国家博物馆后，可以继续在天安门广场看人民英雄纪念碑、人民大会堂等景点。如果是下午结束游玩，还能在天安门广场上等待降旗仪式，晚上去前门大街逛逛，吃全聚德烤鸭。,image/10051f000001gsu0v03DD_D_256_180.jpg
1,2023001,天安门广场,0,天安门广场位于北京的中轴线上，是共和国的中心广场。天安门城楼、人民大会堂、国家博物馆、人民英雄纪念碑等众多国家象征都坐落于此，各种大型庆典也都在这里举办，每天清晨的升旗仪式更是吸引无数游客前来瞻仰。观看升降旗仪式天安门广场升（降）旗仪式分为节日升旗仪式和平日升旗仪式。每年元旦、春节、国际劳动节、国庆节和每月1日实施节日升旗仪式。升降旗时间升（降）旗仪式随每天日出时间而不同。具体升旗时间可以查看天安门管委会官网。天安门广场夜间执行清场制，升旗前大约半小时开放入口，降旗后开始清场，关闭入口（根据季节和实际客流情况，开放时间会进行临时调整）。游客可在升旗前半小时，到广场附近等侯。主要景点天安门广场位于天安门正南，广场中央矗立着人民英雄纪念碑和庄严肃穆的主席纪念堂，广场西侧是人民大会堂，东侧是中国国家博物馆，南侧是两座有着几百年历史的古城楼——正阳门和前门箭楼，这些雄伟的建筑与天安门一起，构成了现在的天安门广场。现在的天安门广场，是共和国举行重大庆典、盛大集会和外事迎宾的重地。从建国至今，天安门广场经历了多次大阅兵，见证了中华民族的崛起和振兴。,image/100m060000001ylmwCB01_D_256_180.jpg
2,2023002,故宫,40,绝大多数刚来北京的游客，都会把故宫当作必去之处。故宫又称紫禁城，是明、清两代的皇宫，也是古老中国的标志和象征。当你置身于气派规整的高墙深院，能真真切切地感受到它曾经的荣耀。悠久的历史给这里留下了大规模的珍贵建筑和无数文物，也成为今天游玩故宫的主要看点。游览古建筑群故宫是中国乃至世界上保存较为完整、规模较大的木质结构古建筑群。这些金碧辉煌的建筑群可以分为“外朝”与“内廷”两大部分。以乾清门为界，乾清门以南为外朝，是皇帝处理政务的地方，乾清门以北为内廷，住着后宫嫔妃，是皇帝家庭生活之所。走过金銮殿、乾清宫、坤宁宫，在皇帝的御花园里赏弄花花草草，感觉好像穿越到了古装剧里。欣赏大量的珍贵文物故宫内珍藏有大量珍贵文物，据统计有上百万件。以文物的种类不同，分为多个展馆。其中珍宝馆和钟表馆很是引人注目，钟表馆每天11点和14点有钟表演示，可以看到清王朝珍藏的各种造型奇特的珍奇机械钟表，一定令你眼界大开。游玩路线故宫占地面积宽广，共有大大小小的宫殿70多座，游览路线繁多。想要好好地逛一圈，需要安排一天的时间。如果只是走马观花，看一看主要宫殿，约两个小时就能逛完。如果只有两个小时左右的时间，建议沿着故宫中轴线参观。故宫精华的景区基本都在这条线上，走路时间也比较少。1. 午门-太和门-弘义阁（皇朝礼乐展）-太和殿-中和殿-保和殿-乾清门-乾清宫-交泰殿-坤宁宫-御花园-神武门2. 午门-太和门-太和殿-保和殿西庑（天府永藏展）-保和殿东庑（宫阙述往展）-中和殿-保和殿-乾清门-乾清宫-交泰殿-坤宁宫-御花园-神武门如果觉得两个小时的游览不够尽兴，你还可以到东、西六宫的院落里逛逛，这里曾经住着紫禁城里备受恩宠的妃嫔们。或者到钟表馆和珍宝馆看看，欣赏珍贵文物。1. 午门-文华殿（陶瓷馆）-太和门-太和殿-中和殿-保和殿-奉先殿（钟表馆）-乾清宫-交泰殿-坤宁宫-养心殿-西六宫区-御花园-神武门2. 午门-武英殿（书画馆）-太和门-太和殿-中和殿-保和殿-乾清宫-交泰殿-坤宁宫-东六宫区-斋宫-宁寿宫区前朝（珍宝、石鼓二馆）-宁寿宫区后寝（珍宝、戏曲二馆和珍妃井）-神武门一日游规划路线几乎包括故宫博物院所有开放区域的重要宫殿和展馆，但也需要在参观时注意利用时间，并选择好自己感兴趣的展览陈列内容。若处处盘桓流连，一天的时间恐怕也不足以尽览胜景。午门-武英殿（书画馆）-文华殿（陶瓷馆）-太和门-太和殿-中和殿-保和殿-乾清宫-交泰殿-坤宁宫-养心殿-西六宫区-御花园-东六宫区-奉先殿（钟表馆）-宁寿宫区（珍宝馆、戏曲馆）-神武门经典景点太和殿，俗称“金銮殿”，是明清两代皇帝举行大典的场所。每逢大典之日，从太和殿至天安门外，设有庞大的仪仗，太和殿前檐下设中和韶乐，太和门内设丹陛大乐，王公立于丹陛之上，一品至九品文武百官齐集于丹墀内陈设“品极山”的御道两旁。养心殿是一座“工”字形的建筑，分前后两殿。自清雍正以后，皇帝寝宫移至后殿，前殿成为皇帝处理日常政务，接见臣工的地方。在太和门前广场共有五座金水桥，单孔拱券式，造型秀美，同雄伟壮观的午门城楼和金碧辉煌的太和殿相映衬，引人入胜。坤宁宫是北京故宫内廷后三宫之一。在明代，坤宁宫是皇后的寝宫，但到了清代逐渐改作祭神的场所。保和殿是中国传统宫殿建筑之精华，属于北京故宫中的一座殿宇式建筑。每年除夕，皇帝在此宴请少数民族王公大臣。自乾隆后期，这里便成为举行“殿试”的场所。珍宝馆位于宁寿宫区域，馆藏珍宝尤其丰富，涵盖佛教用品、饰品、日用器具和赏玩珍品等。其中，高约十四厘米的红珊瑚狮子、长约一百三十厘米的东珠朝珠及金“奉天之宝”玺等，都是难得一见的珍品。钟表馆位于宫中奉先殿，展出的钟表以英国产品居多，也有法国、瑞士等其它国家的钟表。这些钟表除计时功能外，上面装饰的人物、鸟兽、花卉等还会做出各种不同的动作，制作非常精巧。其中，铜镀金写字人钟、铜镀金嵌珐琅葫芦顶渔樵耕读钟、铜镀金转花跑人犀牛驮表等很是珍奇。,image/100q1f000001grmfdB726_D_256_180.jpg
3,2023003,午门,60,午门是紫禁城南面的城门，也是这座皇城的正门，更是紫禁城四座城门中最大的一座。建于明永乐十八年，已有近600年的历史。午门的平面呈“凹”字形，主城楼东、西两侧向前延伸出的城台上各有两座方亭与中央的主楼形成呼应，形若朱雀展翅，因此午门又被称为“五凤楼”，同时呼应了中国历代王朝宫殿的传统，即南方以朱雀门为皇宫正门。午门城楼共设有5个门通往内城，城楼中间开有三门，城台两侧还分别设有一座掖门。而位于城楼正中的这座门是皇帝出入的“御路门”，除了当朝天子，只有皇后在大婚当天乘坐喜轿入宫时，以及科举最终殿试高中的状元、榜眼和探花出宫时可以走一次，以示皇帝给予的特殊优待。王公贵族出入走中间偏西的西门，文武官员走偏东的东门，城台左右转角的掖门，只在大朝日才开启。午门也是皇帝经常举行重要仪式的地方，遇有大规模的凯旋献俘礼，皇帝会登上午门城楼接受朝拜，尽显皇家威仪。明代时，皇帝处罚大臣的“廷杖”也在此进行，我们在影视剧里常常听到的“推出午门斩首”的说法即由“廷杖”改编而来，实际上的斩首地点是在北京的西四和菜市口。现在午门中央城楼已辟为故宫博物院的重要展厅。,image/100v13000000vbns4B0F4_D_256_180.jpg
4,2023004,太和殿,0,太和殿是紫禁城中的至尊宝殿，即民间所谓皇宫中的“金銮殿”，大殿坐落在三层汉白玉高台之上，内外装饰了成千上万条金龙纹，屋脊边角安设10个脊兽，殿内金砖铺地，殿中七层高阶上摆放皇帝精美异常的金漆云龙纹宝座，座上悬挂匾额“建极绥猷”。太和殿是现存规格最高的古建筑，且仅此一例。它是中国古代宫殿建筑的精华之作，也是中国现存最大的木结构大殿。太和殿初建于明朝永乐时期，始称奉天殿，明嘉靖朝改为皇极殿。满清入主北京后改名太和殿，蕴含天下和谐的愿望。现在的太和殿是清康熙年重建并留存下来的。太和殿矗立在紫禁城中央，是前朝三大殿的主殿，更是紫禁城的重心所在。如今很多人认为皇帝平时是在太和殿上朝，但实际上太和殿很少开启，只有举办重大典礼的时候才会使用这里，如皇帝登基、皇帝大婚、册立皇后、命将出征，此外每年万寿节、元旦、冬至三大节，皇帝会在太和殿接受文武官员的朝贺，并向王公大臣赐宴。明清皇帝上朝的地方主要在太和门、乾清门、乾清宫还有养心殿，并不是太和殿。,image/100j1f000001gpudu7309_D_256_180.jpg
5,2023005,保和殿,40,保和殿是北京故宫中的一座殿宇式建筑。现存主体梁架仍为明代建筑。保和殿面阔9间，进深5间，屋顶为重檐歇山顶，上覆黄色琉璃瓦，上下檐角均安放9个小兽。殿内金砖铺地，坐北向南设雕镂金漆宝座。东西两梢间为暖阁。建筑上采用了减柱造做法，将殿内前檐金柱减去六根，使空间宽敞舒适。保和殿后阶陛中间设有一块雕刻着云、龙、海水和山崖的御路石，人们称之为云龙石雕。每当雨天时还有千龙吐水的壮观景象。千龙是指望柱下面伸出的千余个石雕龙头，每当雨天时雨水就从龙口中排出，使分流雨水的实用功能与建筑艺术的观赏功能有机地结合在了一起。位于保和殿的东西两侧的庑房，现已辟为陈列馆。,image/10011f000001h38bwEBDD_D_256_180.jpg
6,2023006,钟表馆,10,奉先殿在紫禁城内廷三宫的东侧，最初建造于明代永乐时期。“奉先”是崇奉祖先之意。明清两代，这里都是皇帝祭祀祖先的家庙。殿分前后两重，中以穿堂连接，形成尊贵的“工”字型殿宇形式。后殿陈设着历朝皇帝、皇后的神牌。每年农历元旦、冬至、生辰等国家重大庆典，皇帝都会将祖先牌位移至前殿祭拜。每逢已故帝后诞辰、忌辰以及元宵、清明等节日，皇帝会到后殿上香行礼。现在奉先殿被改造成了钟表馆展厅，展出了200多件十八世纪中外制造的各式钟表。我国古代多以圭表、日晷、漏壶计时，明末清初欧洲机械钟表开始传入我国，逐渐取代了传统计时器。十八世纪，清代宫廷即大量使用机械钟表。这些钟表计时准确、造型精美、色彩绚丽，还有优美的音乐、逗人的演技和各种吉祥的寓意，深得帝后门的喜爱，成为宫殿中珍贵的陈设装饰。清宫旧藏的钟表大部分留存至今，是故宫博物院文物藏品中的重要门类。钟表馆展出了这些钟表中的精品，有铜壶滴漏、紫檀木楼阁式大更钟、硬木雕花楼式自鸣钟、铜镀金写字人钟、铜镶金雄鸡动物座楼阁式表等。另外还有清宫造办、广州精华、苏州之韵、法国撷英等展馆展出了各式精品钟表。,image/100f1f000001gq98gC6C6_D_256_180.jpg
7,2023007,珍宝馆,10,慕尼黑皇宫区位于慕尼黑市中心，是慕尼黑从16世纪到19世纪重要建筑的汇合区。慕尼黑皇宫区中有国王大楼、马克西米里安皇宫、宴会厅大楼、巴伐利亚歌剧院、将军纪念堂等多栋建筑。由于时代和功用的不同，这些建筑或辉煌、或宏阔、或简单、或繁复，可谓风格各异，但高贵大气是慕尼黑皇宫区建筑群的共同特征。如果看到慕尼黑皇宫区的狮子雕像，可要记得摸摸狮子的鼻子，这样就可以得到福佑。皇宫里最引人注目的是旧皇家剧院，这座洛可可式的金红色建筑珍品仍在使用。宏伟的古物博物馆是一座气势宏大的大厅，长69米，于1571建成的，当时用作候选图书馆，是阿尔卑斯以北最大的非宗教用途的文艺复兴时期的会堂，现在是州宴会厅。皇宫里的珠宝馆，展出了许多价值连城的珠宝，包括加冕时所用的皇冠和其他物品。,image/100f1f000001gqbo67871_D_256_180.jpg
8,2023008,御花园,0,御花园位于紫禁城的中轴线上，坤宁宫以北，这里一直是帝后妃嫔们茶余饭后休息、游乐的地方。另外，每年宫中登高、赏月的活动也在这里进行。明代这里称为宫后苑，清代改称御花园，始建于明永乐十八年，如今仍保留初建时的基本格局。园内建筑采取了中轴对称的布局。中间的钦安殿内供奉着道教神明，殿前相交于甬道上方的连理柏也是宫中的奇树之一。代表四季的万春亭、浮碧亭、千秋亭、澄瑞亭就两两一对，各置东西两侧。其中东西相对的万春亭和千秋厅造型别致精巧，被称为紫禁城最美的亭子。其实御花园的面积并不大，但古柏老槐与奇花异草遍布其中，还有星罗棋布的亭台殿阁和纵横交错的花石子路，使得整个花园既古雅幽静，又不失皇家气魄。,image/CggYG1ZcCAqAVf3SACtKHD2Df2U305_D_256_180.jpg
9,2023009,八达岭长城,35,八达岭长城号称天下九塞之一，风光集巍峨险峻、秀丽苍翠于一体，是明长城景色中的精华。“不到长城非好汉”，很多国人都以这里为登临长城的主要选择。八达岭长城关城为东窄西宽的梯形，有东西二门。东门额题“居庸外镇”，西门额题“北门锁钥”。关城向北延伸的长城是北长城，有敌楼12处。关城以南是南长城，有敌楼7处。南长城相比北长城的游客人数较少，如果时间充裕，可以先去走南长城，再走北长城。网络预约售票自2019年6月1日起，八达岭长城景区也将开始实施全网络实名制预约售票，游客可提前7天起在网上预约购票，预约购票成功后可持身份证直接入园。同时，景区还将试行单日游客总量控制，每日最大客流量为6.5万人次。最佳观赏位置除了在关城可以登长城外，在南4楼、北4楼、北8楼和北11楼也有登城口，都能登上长城。其中北8楼是八达岭长城海拔最高的敌楼，又名“观日台”。这里距离关城有1500多米，是俯瞰长城的绝佳地点。乘坐索道在南4楼和北8楼处，还建有索道。不想步行的游客，可以乘坐索道直接抵达敌楼，游玩结束再乘坐索道返回。可节省体力，轻松游玩。周边餐饮八达岭长城景区设有商业步行街，爬长城累了，下山后可以在此休息进餐。除了高端大气的八达岭饭店（涉外饭店），还有炸酱面、狗不理、饺子馆等老北京风味的餐馆和赛百味、永和豆浆等快餐，可按需选择。吃饱喝足，如果还有精力，不妨逛逛旁边的詹天佑纪念馆、中国长城博物馆。,image/10011f000001h354t60E1_D_256_180.jpg
